note,description,date,type,id,search_index,timestamp,pin,amount
Salary,Salary,01-10-2022 10:01:32 AM,Incoming,1664598728565000,"['sal', 'lary', 'ary', 'alary', 'y', 'r', 'salary', 'sa', 'a', 's', 'ry', 'sala', 'salar', 'l']",2022-10-01 04:31:32.548000+00:00,False,75407.63
Petroleum,"Petroleum - 103.14
Km - 36669",01-10-2022 12:57:21 PM,Outgoing,1664609182788000,"['petrol', 'roleum', 'petrole', 'o', 'e', 'um', 'petroleu', 'troleum', 'etroleum', 'oleum', 'u', 'l', 'p', 't', 'eum', 'leum', 'petroleum', 'r', 'pet', 'petro', 'm', 'petr', 'pe']",2022-10-01 07:27:21.689000+00:00,False,-200.0
Food,Food,01-10-2022 1:26:49 PM,Outgoing,1664611019340000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-01 07:56:49.765000+00:00,False,-166.96
Food,Food,01-10-2022 3:54:45 PM,Outgoing,1664619890832000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-01 10:24:45.966000+00:00,False,-449.0
HouseHold,"House Hold 
Rice 
Egg
Shampoo",01-10-2022 7:07:56 PM,Outgoing,1664631628378000,"['h', 'e', 'o', 'hold', 'househol', 'ehold', 'househo', 'hou', 'house', 'u', 'old', 'hous', 'l', 'household', 'ld', 'usehold', 'sehold', 'househ', 'd', 'ho', 's', 'ousehold']",2022-10-01 13:37:56.098000+00:00,False,-136.0
Cash,Cash,01-10-2022 8:01:34 PM,Incoming,1664634703236000,"['cash', 'h', 'sh', 'c', 'a', 'ash', 's', 'ca', 'cas']",2022-10-01 14:31:34.464000+00:00,False,40.0
Food,Food,01-10-2022 8:01:44 PM,Outgoing,1664634719954000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-01 14:31:44.574000+00:00,False,-40.0
Food,Food,01-10-2022 8:30:46 PM,Outgoing,1664636451049000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-01 15:00:46.194000+00:00,False,-95.0
Train,Return train,01-10-2022 9:52:59 PM,Outgoing,1664641398160000,"['n', 'i', 't', 'tr', 'r', 'tra', 'trai', 'ain', 'train', 'rain', 'a', 'in']",2022-10-01 16:22:59.171000+00:00,False,-296.8
Food,Food Annapoorna with family,02-10-2022 9:45:24 AM,Outgoing,1664684136835000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-02 04:15:24.496000+00:00,False,-295.0
Recharge,Recharge - AirConnect,02-10-2022 9:52:57 AM,Outgoing,1664684595478000,"['h', 'charge', 'arge', 'e', 'rge', 'harge', 'recharg', 'echarge', 'recharge', 'a', 'rechar', 'ge', 'rec', 'r', 'rech', 'g', 'c', 'recha', 're']",2022-10-02 04:22:57.709000+00:00,False,-707.0
Recharge,Recharge - Sharika,02-10-2022 3:28:41 PM,Outgoing,1664704735510000,"['h', 'charge', 'arge', 'e', 'rge', 'harge', 'recharg', 'echarge', 'recharge', 'a', 'rechar', 'ge', 'rec', 'r', 'rech', 'g', 'c', 'recha', 're']",2022-10-02 09:58:41.360000+00:00,False,-395.0
Food,Food boonthi,02-10-2022 6:30:20 PM,Outgoing,1664715626926000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-02 13:00:20.013000+00:00,False,-30.0
Cash,"200 - Cash from ATM
60 - Malampuzha Entry
40 - Chips at Malampuzha
30 - Medicines via Malampuzha
20 - Parking at Malampuzha
50 - Ice at Malampuzha",02-10-2022 6:45:00 PM,Outgoing,1664718311989000,"['cash', 'h', 'sh', 'c', 'a', 'ash', 's', 'ca', 'cas']",2022-10-02 13:15:00+00:00,False,-0.0
Unknown,Unknown,02-10-2022 8:05:48 PM,Incoming,1664721367619000,"['w', 'un', 'unkn', 'n', 'unkno', 'o', 'nknown', 'nown', 'wn', 'k', 'unknown', 'own', 'unknow', 'u', 'unk', 'known']",2022-10-02 14:35:48.873000+00:00,False,1.5
Recharge,Recharge - My Jio Phone,03-10-2022 8:31:04 AM,Outgoing,1664766080027000,"['h', 'charge', 'arge', 'e', 'rge', 'harge', 'recharg', 'echarge', 'recharge', 'a', 'rechar', 'ge', 'rec', 'r', 'rech', 'g', 'c', 'recha', 're']",2022-10-03 03:01:04.480000+00:00,False,-395.0
Petroleum,Petroleum - Malampuzha,03-10-2022 9:00:00 AM,Outgoing,1664855318375000,"['petrol', 'roleum', 'petrole', 'o', 'e', 'um', 'petroleu', 'troleum', 'etroleum', 'oleum', 'u', 'l', 'p', 't', 'eum', 'leum', 'petroleum', 'r', 'pet', 'petro', 'm', 'petr', 'pe']",2022-10-03 03:30:00+00:00,False,-200.0
Malampuzha,Malampuzha - Rope Car,03-10-2022 11:15:00 AM,Outgoing,1664855763285000,"['h', 'malampuz', 'z', 'ma', 'mpuzha', 'puzha', 'mal', 'a', 'malampuzha', 'zha', 'malamp', 'u', 'malampuzh', 'l', 'p', 'alampuzha', 'malampu', 'ampuzha', 'malam', 'lampuzha', 'uzha', 'mala', 'm', 'ha']",2022-10-03 05:45:00+00:00,False,-142.0
Food,Food - Malampuzha Return Lunch,03-10-2022 3:55:00 PM,Outgoing,1664855800154000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-03 10:25:00+00:00,False,-545.0
Petroleum,Petroleum - Extra Charge for 01/10/22,03-10-2022 11:00:00 PM,Outgoing,1664855854082000,"['petrol', 'roleum', 'petrole', 'o', 'e', 'um', 'petroleu', 'troleum', 'etroleum', 'oleum', 'u', 'l', 'p', 't', 'eum', 'leum', 'petroleum', 'r', 'pet', 'petro', 'm', 'petr', 'pe']",2022-10-03 17:30:00+00:00,False,-0.94
Savings,Savings Monthly,04-10-2022 9:29:53 AM,Outgoing,1664856011138000,"['v', 'n', 'i', 'vings', 'g', 'ngs', 'sav', 'sa', 'a', 'ings', 'gs', 's', 'savi', 'savings', 'savin', 'avings', 'saving']",2022-10-04 03:59:53.367000+00:00,False,-2000.0
