type,description,amount,pin,note,id,timestamp,date
Incoming,Where Salary : 54135,54217.0,0.0,Balance,1640917489623430,2021-12-31 02:24:49.623449+00:00,31-12-2021 7:54:49 AM
Outgoing,Food : Aroma Beal,-80.0,0.0,Food,1640961311761985,2021-12-31 14:35:11.761990+00:00,31-12-2021 8:05:11 PM
Outgoing,Food : Aroma Cake 🎂,-65.0,0.0,Food,1640961342097934,2021-12-31 14:35:42.097941+00:00,31-12-2021 8:05:42 PM
Outgoing,Food : Anna kadai ❤️,-25.0,0.0,Food,1641089894605929,2022-01-02 02:18:14.605936+00:00,02-01-2022 7:48:14 AM
Outgoing,CAN : Minimum Balance,-500.0,0.0,CAN,1641089932596167,2022-01-02 02:18:52.596176+00:00,02-01-2022 7:48:52 AM
Incoming,Credit Interest : HDFC,560.0,0.0,C Interest,1641090052282729,2022-01-02 02:20:52.282735+00:00,02-01-2022 7:50:52 AM
Outgoing,Sumo FastTag,-200.0,0.0,FastTag,1641090368494771,2022-01-02 02:26:08.494775+00:00,02-01-2022 7:56:08 AM
Outgoing,Recharge : RJK,-75.0,0.0,Recharge,1641102790912138,2022-01-02 05:53:10.912147+00:00,02-01-2022 11:23:10 AM
Outgoing,Headset,-490.0,0.0,Headset,1641137316454720,2022-01-02 15:28:36.454725+00:00,02-01-2022 8:58:36 PM
Outgoing,No Due : Kulpi,-350.0,0.0,No Due,1641191612996236,2022-01-03 06:33:32.996241+00:00,03-01-2022 12:03:32 PM
Outgoing,"Sangagiri
Enaku 5000
Appaku 5000
Total 10000",-5001.0,1.0,Sangagiri,1641303474918083,2022-05-15 03:18:33.268000+00:00,15-05-2022 8:48:33 AM
Outgoing,Recharge : Sharika,-395.0,0.0,Recharge,1641395807476488,2022-01-05 15:16:47.476492+00:00,05-01-2022 8:46:47 PM
Outgoing,Appa,-3000.0,0.0,Appa,1641880163952137,2022-01-11 05:49:23.952144+00:00,11-01-2022 11:19:23 AM
Outgoing,Recharge Jio Fiber,-1178.0,0.0,Recharge,1642044793882543,2022-01-13 03:33:13.882550+00:00,13-01-2022 9:03:13 AM
Outgoing,Groww,-100.0,0.0,Groww,1642044953607535,2022-01-13 03:35:53.607543+00:00,13-01-2022 9:05:53 AM
Outgoing,Appa,0.0,0.0,Appa,1642383522223911,2022-01-17 01:38:42.223918+00:00,17-01-2022 7:08:42 AM
Outgoing,"Food (20), Deposit (200)",0.0,0.0,Ramu,1642390470236200,2022-01-17 03:34:30.236205+00:00,17-01-2022 9:04:30 AM
Outgoing,Petrol,-100.0,0.0,Petrol,1642395116610238,2022-01-17 04:51:56.610245+00:00,17-01-2022 10:21:56 AM
Outgoing,Cutting,-180.0,0.0,Cutting,1642395155006416,2022-01-17 04:52:35.006422+00:00,17-01-2022 10:22:35 AM
Outgoing,Medicine for Sharika,-71.0,0.0,Medicine,1642498871541294,2022-01-18 09:41:11.541301+00:00,18-01-2022 3:11:11 PM
Outgoing,ATM,-100.0,0.0,ATM,1642692643476226,2022-01-20 15:30:43.476232+00:00,20-01-2022 9:00:43 PM
Outgoing,Petrol,-200.0,0.0,Petrol,1642735535221727,2022-01-21 03:25:35.221732+00:00,21-01-2022 8:55:35 AM
Outgoing,Ramu,0.0,0.0,Ramu,1642749502357331,2022-01-21 07:18:22.357343+00:00,21-01-2022 12:48:22 PM
Outgoing,Food,-60.0,0.0,Food,1642784069883570,2022-01-21 16:54:29.883575+00:00,21-01-2022 10:24:29 PM
Outgoing,Food,-20.0,0.0,Food,1642784202472284,2022-01-21 16:56:42.472290+00:00,21-01-2022 10:26:42 PM
Outgoing,"Stock, Groww",-10000.0,0.0,Stock,1642824555706629,2022-01-22 04:09:15.706634+00:00,22-01-2022 9:39:15 AM
Outgoing,"ATM (200), Food (65+40+60), Sharika (50)",0.0,0.0,ATM,1642857848587154,2022-01-22 13:24:08.587161+00:00,22-01-2022 6:54:08 PM
Outgoing,"Food, SSS",-40.0,0.0,Food,1642945169966854,2022-01-23 13:39:29.966859+00:00,23-01-2022 7:09:29 PM
Outgoing,"Food, SSS near backery",-65.0,0.0,Food,1642945182972423,2022-01-23 13:39:42.972428+00:00,23-01-2022 7:09:42 PM
Outgoing,Sharika,-50.0,0.0,Sharika,1642945294653699,2022-01-23 13:41:34.653704+00:00,23-01-2022 7:11:34 PM
Outgoing,"Food, bhel 50",-50.0,0.0,Food,1643036557953528,2022-01-24 15:02:37.953534+00:00,24-01-2022 8:32:37 PM
Outgoing,"Gift, Hari Hara Suthan",-120.0,0.0,Gift,1643039943833111,2022-01-24 15:59:03.833115+00:00,24-01-2022 9:29:03 PM
Incoming,Cash,15.0,0.0,Cash,1643040071539438,2022-01-24 16:01:11.539442+00:00,24-01-2022 9:31:11 PM
Outgoing,"Food, pani puri",-60.0,0.0,Food,1643040087556047,2022-01-24 16:01:27.556055+00:00,24-01-2022 9:31:27 PM
Outgoing,"Recharge, Sanjay",-395.0,0.0,Recharge,1643084108897436,2022-01-25 04:15:08.897443+00:00,25-01-2022 9:45:08 AM
Outgoing,"Recharge, mutha rjk",-75.0,0.0,Recharge,1643094509861189,2022-01-25 07:08:29.861194+00:00,25-01-2022 12:38:29 PM
Outgoing,"Food, Tea shop back side setu kadai",-135.0,0.0,Food,1643124509075951,2022-01-25 15:28:29.075959+00:00,25-01-2022 8:58:29 PM
Outgoing,"ATM, pani poori (20)",-180.0,0.0,ATM,1643176136729285,2022-01-26 05:48:56.729290+00:00,26-01-2022 11:18:56 AM
